employee_id,date,am_in,am_out,pm_in,pm_out,ot_in,ot_out
EMP-2026-9014,2026-09-16,08:00,12:00,13:00,17:00,,
EMP-2026-9014,2026-09-17,08:00,12:00,13:00,17:00,,
EMP-2026-9014,2026-09-18,08:00,12:00,13:00,17:00,,
EMP-2026-9015,2026-09-14,08:00,12:00,13:00,17:00,,
EMP-2026-9015,2026-09-15,08:00,12:00,13:00,17:00,,
EMP-2026-9015,2026-09-16,08:00,12:00,13:00,17:00,,
EMP-2026-9015,2026-09-17,08:00,12:00,13:00,17:00,,
EMP-2026-9015,2026-09-18,08:00,12:00,13:00,17:00,,
EMP-2026-9016,2026-09-14,08:00,12:00,13:00,17:00,,
EMP-2026-9016,2026-09-15,08:00,12:00,13:00,17:00,,
EMP-2026-9016,2026-09-16,08:00,12:00,13:00,17:00,,
EMP-2026-9016,2026-09-17,08:00,12:00,13:00,17:00,,
EMP-2026-9016,2026-09-18,08:00,12:00,13:00,17:00,,
EMP-2026-9017,2026-09-14,08:00,12:00,13:00,17:00,,
EMP-2026-9017,2026-09-15,08:00,12:00,13:00,17:00,,
EMP-2026-9017,2026-09-16,08:00,12:00,13:00,17:00,,
EMP-2026-9017,2026-09-17,08:00,12:00,13:00,17:00,,
EMP-2026-9017,2026-09-18,08:00,12:00,13:00,17:00,,
EMP-2026-9018,2026-09-14,08:00,12:00,13:00,17:00,,
EMP-2026-9018,2026-09-15,08:00,12:00,13:00,17:00,,
EMP-2026-9018,2026-09-16,08:00,12:00,13:00,17:00,,
EMP-2026-9018,2026-09-17,08:00,12:00,13:00,17:00,,
EMP-2026-9018,2026-09-18,08:00,12:00,13:00,17:00,,
EMP-2026-9019,2026-09-14,08:00,12:00,13:00,17:00,,
EMP-2026-9019,2026-09-15,08:00,12:00,13:00,17:00,,
EMP-2026-9019,2026-09-16,08:00,12:00,13:00,17:00,,
EMP-2026-9019,2026-09-17,08:00,12:00,13:00,17:00,,
EMP-2026-9019,2026-09-18,08:00,12:00,13:00,17:00,,
EMP-2026-9020,2026-09-14,08:00,12:00,13:00,17:00,,
EMP-2026-9020,2026-09-15,08:00,12:00,13:00,17:00,,
EMP-2026-9020,2026-09-16,08:00,12:00,13:00,17:00,,
EMP-2026-9020,2026-09-17,08:00,12:00,13:00,17:00,,
EMP-2026-9020,2026-09-18,08:00,12:00,13:00,17:00,,
EMP-2026-9021,2026-09-14,08:00,12:00,13:00,17:00,,
EMP-2026-9021,2026-09-15,08:00,12:00,13:00,17:00,,
EMP-2026-9021,2026-09-16,08:00,12:00,13:00,17:00,,
EMP-2026-9021,2026-09-17,08:00,12:00,13:00,17:00,,
EMP-2026-9021,2026-09-18,08:00,12:00,13:00,17:00,,
EMP-2026-9022,2026-09-14,08:00,12:00,13:00,17:00,,
EMP-2026-9022,2026-09-15,08:00,12:00,13:00,17:00,,
EMP-2026-9022,2026-09-16,08:00,12:00,13:00,17:00,,
EMP-2026-9022,2026-09-17,08:00,12:00,13:00,17:00,,
EMP-2026-9022,2026-09-18,08:00,12:00,13:00,17:00,,
EMP-2026-9023,2026-09-14,08:00,12:00,13:00,17:00,,
EMP-2026-9023,2026-09-15,08:00,12:00,13:00,17:00,,
EMP-2026-9023,2026-09-16,08:00,12:00,13:00,17:00,,
EMP-2026-9023,2026-09-17,08:00,12:00,13:00,17:00,,
EMP-2026-9023,2026-09-18,08:00,12:00,13:00,17:00,,
EMP-2026-9024,2026-09-14,08:00,12:00,13:00,17:00,,
EMP-2026-9024,2026-09-15,08:00,12:00,13:00,17:00,,
EMP-2026-9024,2026-09-16,08:00,12:00,13:00,17:00,,
EMP-2026-9024,2026-09-17,08:00,12:00,13:00,17:00,,
EMP-2026-9024,2026-09-18,08:00,12:00,13:00,17:00,,
EMP-2026-9025,2026-09-14,08:00,12:00,13:00,17:00,,
EMP-2026-9025,2026-09-15,08:00,12:00,13:00,17:00,,
EMP-2026-9025,2026-09-16,08:00,12:00,13:00,17:00,,
EMP-2026-9025,2026-09-17,08:00,12:00,13:00,17:00,,
EMP-2026-9025,2026-09-18,08:00,12:00,13:00,17:00,,
EMP-2026-9026,2026-09-14,07:00,12:00,13:00,16:00,,
EMP-2026-9026,2026-09-15,07:00,12:00,13:00,16:00,,
EMP-2026-9026,2026-09-16,07:00,12:00,13:00,16:00,,
EMP-2026-9026,2026-09-17,07:00,12:00,13:00,16:00,,
EMP-2026-9026,2026-09-18,07:00,12:00,13:00,16:00,,
EMP-2026-9027,2026-09-14,07:00,12:00,13:00,16:00,,
EMP-2026-9027,2026-09-15,07:00,12:00,13:00,16:00,,
EMP-2026-9027,2026-09-16,07:00,12:00,13:00,16:00,,
EMP-2026-9027,2026-09-17,07:00,12:00,13:00,16:00,,
EMP-2026-9027,2026-09-18,07:00,12:00,13:00,16:00,,
EMP-2026-9028,2026-09-14,07:00,12:00,13:00,16:00,,
EMP-2026-9028,2026-09-15,07:00,12:00,13:00,16:00,,
EMP-2026-9028,2026-09-16,07:00,12:00,13:00,16:00,,
EMP-2026-9028,2026-09-17,07:00,12:00,13:00,16:00,,
EMP-2026-9028,2026-09-18,07:00,12:00,13:00,16:00,,
EMP-2026-9029,2026-09-14,07:00,12:00,13:00,16:00,,
EMP-2026-9029,2026-09-15,07:00,12:00,13:00,16:00,,
EMP-2026-9029,2026-09-16,07:00,12:00,13:00,16:00,,
EMP-2026-9029,2026-09-17,07:00,12:00,13:00,16:00,,
EMP-2026-9029,2026-09-18,07:00,12:00,13:00,16:00,,
EMP-2026-9030,2026-09-14,08:00,12:00,13:00,17:00,,
EMP-2026-9030,2026-09-15,08:00,12:00,13:00,17:00,,
EMP-2026-9030,2026-09-16,08:00,12:00,13:00,17:00,,
EMP-2026-9030,2026-09-17,08:00,12:00,13:00,17:00,,
EMP-2026-9030,2026-09-18,08:00,12:00,13:00,17:00,,
